Party,Criminal Case,Total Assets,Liabilities,state,Education,isDoctor,isAdvocate,isSC,isST
BJP,0,150000,50000,RAJASTHAN,Graduate,0.0,0.0,0.0,0.0
BJP,1,200000,4100,KARNATAKA,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,0,30000,RAJASTHAN,Graduate,0.0,0.0,0.0,0.0
INC,0,0,10000,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
BJP,1,10000,0,MANIPUR,10th Pass,0.0,0.0,0.0,0.0
DMK,1,20000,10000,MAHARASHTRA,8th Pass,0.0,0.0,0.0,0.0
BJP,1,9800,40000,UTTARPRADESH,10th Pass,0.0,0.0,0.0,0.0
INC,1,5000,6500,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
BJP,2,0,1900,ASSAM,Post Graduate,0.0,0.0,0.0,0.0
BJP,1,10000,0,KARNATAKA,12th Pass,0.0,0.0,0.0,0.0
CPI(M),1,20000,7000,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
INC,1,100000,0,DELHI,Graduate Professional,0.0,0.0,0.0,0.0
BJP,2,0,1400,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
DMK,0,20000,0,BIHAR,Graduate,0.0,0.0,0.0,0.0
BJP,0,2000,0,UTTARAKHAND,10th Pass,0.0,0.0,0.0,0.0
AAP,1,0,0,WESTBENGAL,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,30000,40000,ANDHRAPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
DMK,0,20000,180000,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
AITC,0,20000,40000,HARYANA,Post Graduate,0.0,0.0,0.0,0.0
INC,0,100000,80000,MADHYAPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
CPI(M),1,10000,80000,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
BJP,1,90000,30000,ODISHA,10th Pass,0.0,0.0,0.0,0.0
BJP,3,0,10000,ODISHA,10th Pass,0.0,0.0,0.0,0.0
DMK,5,20000,300,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
BJD,0,10000,20000,BIHAR,Graduate,0.0,0.0,0.0,0.0
RJD,12,110000,500,KERALA,Graduate Professional,0.0,0.0,0.0,0.0
BJD,0,2200,50000,HIMACHALPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
DMK,1,8700,2000,HARYANA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,8900,220000,UTTARPRADESH,Graduate,0.0,0.0,0.0,0.0
BJP,5,20000,7500,ANDHRAPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,0,0,MAHARASHTRA,Graduate,0.0,0.0,0.0,0.0
RJD,1,130000,800,CHHATTISGARH,12th Pass,0.0,0.0,0.0,0.0
YSRCP,1,6480000,8700,KARNATAKA,10th Pass,0.0,0.0,0.0,0.0
NPP,1,20000,2500,ASSAM,Graduate Professional,0.0,0.0,0.0,0.0
SHS,0,270000,800,BIHAR,Graduate,0.0,0.0,0.0,0.0
BJP,1,20000,0,BIHAR,Doctorate,1.0,0.0,0.0,0.0
BJP,1,70000,400,KARNATAKA,Doctorate,0.0,0.0,0.0,0.0
AAP,0,270000,1400,WESTBENGAL,12th Pass,0.0,0.0,0.0,0.0
BJP,0,4400,1210000,BIHAR,Post Graduate,1.0,0.0,0.0,0.0
IND,1,130000,2500,KARNATAKA,12th Pass,0.0,0.0,0.0,0.0
INC,2,110000,6300,GUJARAT,Graduate Professional,1.0,0.0,0.0,0.0
BJP,0,3000,1000,UTTARPRADESH,10th Pass,0.0,0.0,0.0,0.0
NPP,0,160000,200,GUJARAT,Post Graduate,0.0,0.0,0.0,0.0
IND,0,270000,1800,HARYANA,10th Pass,0.0,0.0,0.0,0.0
SHS,1,210000,3100,MAHARASHTRA,10th Pass,1.0,0.0,0.0,0.0
YSRCP,6,6400,2800,RAJASTHAN,12th Pass,0.0,0.0,0.0,0.0
DMK,5,10000,0,ANDHRAPRADESH,Graduate,0.0,0.0,0.0,0.0
INC,1,10000,2700,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
BJP,3,1750000,0,KARNATAKA,Post Graduate,0.0,0.0,0.0,0.0
SHS,0,100000,2300,WESTBENGAL,Doctorate,0.0,0.0,0.0,0.0
DMK,1,0,500,MADHYAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,8,20000,0,ODISHA,Graduate,0.0,0.0,0.0,0.0
YSRCP,0,110000,70,HARYANA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,20000,2900,MADHYAPRADESH,Literate,1.0,0.0,0.0,0.0
BJD,0,60000,1200,MADHYAPRADESH,8th Pass,0.0,0.0,0.0,0.0
BJP,0,40000,20000,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
CPI(M),0,20000,0,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
INC,1,6500,210000,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
RJD,9,40000,10000,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
IND,0,700000,1900,GUJARAT,10th Pass,0.0,0.0,0.0,0.0
AAP,5,0,400,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,40000,30000,GOA,Doctorate,0.0,0.0,0.0,0.0
INC,7,90000,2400,ASSAM,Graduate,0.0,0.0,0.0,0.0
BJP,0,0,10000,MADHYAPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
INC,1,2600,90000,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
BJP,1,820000,0,ODISHA,10th Pass,1.0,0.0,0.0,0.0
INC,1,80000,8100,UTTARPRADESH,12th Pass,0.0,0.0,0.0,0.0
BJP,0,30000,0,UTTARPRADESH,Post Graduate,0.0,0.0,0.0,0.0
BJP,10,60000,10000,TRIPURA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,8400,300,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
BJD,8,80000,30000,TAMILNADU,Graduate,0.0,0.0,0.0,0.0
CPI(M),5,10000,1500,KERALA,12th Pass,0.0,1.0,0.0,0.0
BJP,1,290000,1400,MADHYAPRADESH,Post Graduate,0.0,0.0,0.0,0.0
RJD,1,0,30000,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,90000,30000,BIHAR,Others,0.0,0.0,0.0,0.0
BJD,0,3400,10000,GUJARAT,12th Pass,0.0,0.0,0.0,0.0
NDPP,1,80000,10000,ARUNACHALPRADESH,Graduate,0.0,0.0,0.0,0.0
JD(S),0,80000,80000,BIHAR,10th Pass,0.0,0.0,0.0,0.0
CPI(M),4,4600,0,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
INC,1,20000,10000,UTTARAKHAND,12th Pass,0.0,0.0,0.0,0.0
BJP,0,160000,800,ANDHRAPRADESH,Others,0.0,0.0,0.0,0.0
YSRCP,0,0,5500,DELHI,Graduate,1.0,0.0,0.0,0.0
BJP,0,110000,74,TAMILNADU,10th Pass,1.0,0.0,0.0,0.0
BJP,1,420000,6700,ASSAM,12th Pass,0.0,0.0,0.0,0.0
NDPP,0,1750000,1600,GUJARAT,10th Pass,0.0,0.0,0.0,0.0
BJP,0,10000,10000,UTTARPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,80000,1800,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
JMM,0,0,3200,MAHARASHTRA,10th Pass,0.0,0.0,0.0,0.0
AAP,0,3600,2700,HIMACHALPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,1,90000,1200,CHHATTISGARH,Post Graduate,0.0,0.0,0.0,0.0
Tipra Motha Party,2,3900,15,RAJASTHAN,Post Graduate,1.0,0.0,0.0,0.0
BJP,6,10000,10000,PUNJAB,10th Pass,0.0,0.0,0.0,0.0
DMK,0,10000,10000,MADHYAPRADESH,Graduate,0.0,0.0,0.0,0.0
RJD,0,40000,0,TRIPURA,Graduate Professional,0.0,0.0,0.0,0.0
INC,0,10000,600,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
INC,21,1300,4600,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,30000,10000,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
SHS,1,190000,1600,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
AAP,0,110000,600,KERALA,10th Pass,0.0,0.0,0.0,0.0
BJP,1,10000,20000,TAMILNADU,12th Pass,0.0,0.0,0.0,0.0
AITC,0,40000,70000,MADHYAPRADESH,10th Pass,0.0,0.0,0.0,0.0
DMK,1,20000,10000,KERALA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,100000,10000,HARYANA,Post Graduate,0.0,0.0,0.0,0.0
SP,0,200000,6000,DELHI,Post Graduate,0.0,0.0,0.0,0.0
CPI(M),6,10000,4600,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
DMK,0,20000,2900,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
INC,1,90000,10000,MAHARASHTRA,Graduate,0.0,0.0,0.0,0.0
BJP,1,20000,9100,PUDUCHERRY,Graduate Professional,0.0,0.0,0.0,0.0
BJP,29,0,8600,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
NCP,2,0,1900,ODISHA,10th Pass,0.0,0.0,0.0,0.0
INC,4,8400,6000,BIHAR,Literate,0.0,0.0,0.0,0.0
BJP,1,20000,8100,RAJASTHAN,10th Pass,1.0,0.0,0.0,0.0
YSRCP,1,170000,4700,KARNATAKA,10th Pass,0.0,0.0,0.0,0.0
BJP,0,60000,10000,HIMACHALPRADESH,10th Pass,0.0,0.0,0.0,0.0
DMK,1,10000,20000,TAMILNADU,8th Pass,0.0,0.0,0.0,0.0
INC,1,60000,20000,BIHAR,10th Pass,0.0,0.0,0.0,0.0
INC,14,220000,3000,BIHAR,8th Pass,0.0,0.0,0.0,0.0
NCP,4,110000,3000,ASSAM,Others,0.0,0.0,0.0,0.0
CPI(M),1,10000,40000,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
BJP,0,80000,100,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,70000,500,MADHYAPRADESH,Graduate,0.0,0.0,0.0,0.0
IND,1,0,30000,CHHATTISGARH,Post Graduate,1.0,0.0,0.0,0.0
BJP,0,0,10000,ASSAM,Doctorate,1.0,0.0,0.0,0.0
AAP,1,20000,4000,MEGHALAYA,Graduate Professional,0.0,0.0,0.0,0.0
SHS,0,110000,5100,BIHAR,Others,0.0,0.0,0.0,0.0
INC,0,10000,10000,KARNATAKA,8th Pass,1.0,0.0,0.0,0.0
BJD,0,250000,2000,MAHARASHTRA,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,30000,10000,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,290000,110000,TRIPURA,Post Graduate,0.0,0.0,0.0,0.0
DMK,0,20000,40000,WESTBENGAL,Graduate,0.0,0.0,0.0,0.0
BJP,1,20000,10000,PUNJAB,Graduate,0.0,0.0,0.0,0.0
BJP,1,260000,2500,KERALA,Post Graduate,1.0,0.0,0.0,0.0
DMK,1,20000,10000,TAMILNADU,Graduate,0.0,0.0,0.0,0.0
BJP,0,8400,340000,KARNATAKA,10th Pass,0.0,0.0,0.0,0.0
BJP,0,40000,400,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,80000,3900,MAHARASHTRA,12th Pass,0.0,0.0,0.0,0.0
BJP,0,110000,60000,CHHATTISGARH,Graduate Professional,1.0,0.0,0.0,0.0
INC,1,110000,20000,JHARKHAND,10th Pass,0.0,0.0,0.0,0.0
BJP,1,5800,180000,KERALA,12th Pass,0.0,0.0,0.0,0.0
INC,1,140000,10000,NAGALAND,Post Graduate,0.0,0.0,0.0,0.0
AAP,0,10000,2800,MANIPUR,10th Pass,0.0,0.0,0.0,0.0
BJP,0,20000,2800,TRIPURA,Post Graduate,0.0,0.0,0.0,0.0
DMK,3,10000,20000,KARNATAKA,12th Pass,0.0,0.0,0.0,0.0
BJP,0,180000,6300,KARNATAKA,Graduate,1.0,0.0,0.0,0.0
BJP,1,160000,10000,UTTARPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,150000,10000,UTTARPRADESH,Post Graduate,0.0,0.0,0.0,0.0
AAP,0,270000,100,MADHYAPRADESH,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,4500,10000,JHARKHAND,12th Pass,0.0,0.0,0.0,0.0
IND,0,40000,9500,ASSAM,12th Pass,1.0,0.0,0.0,0.0
IND,0,10000,10000,DELHI,10th Pass,0.0,0.0,0.0,0.0
BJP,0,7700,80000,RAJASTHAN,Doctorate,1.0,0.0,0.0,0.0
BJP,0,20000,9500,DELHI,12th Pass,1.0,0.0,0.0,0.0
BJP,1,540000,40000,MADHYAPRADESH,5th Pass,0.0,0.0,0.0,0.0
YSRCP,2,10000,0,ARUNACHALPRADESH,Post Graduate,0.0,0.0,0.0,0.0
CPI(M),4,10000,0,KERALA,Graduate Professional,1.0,1.0,0.0,0.0
BJP,0,0,10000,TAMILNADU,12th Pass,0.0,0.0,0.0,0.0
BJP,0,50000,3000,MADHYAPRADESH,Doctorate,1.0,0.0,0.0,0.0
AAP,6,30000,10000,DELHI,Graduate Professional,0.0,0.0,0.0,0.0
INC,1,7300,4100,ODISHA,10th Pass,0.0,0.0,0.0,0.0
INC,19,420000,6700,GUJARAT,12th Pass,0.0,0.0,0.0,0.0
YSRCP,1,50000,1500,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
DMK,3,10000,1000,KARNATAKA,10th Pass,0.0,0.0,0.0,0.0
DMK,6,30000,50000,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
DMK,9,40000,40000,ANDHRAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,0,20000,2700,UTTARPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
AAP,1,40000,10000,UTTARAKHAND,Post Graduate,0.0,0.0,0.0,0.0
AITC,7,190000,20000,TAMILNADU,12th Pass,0.0,0.0,0.0,0.0
BJP,0,3100,2700,HIMACHALPRADESH,10th Pass,0.0,0.0,0.0,0.0
SP,0,270000,1200,KARNATAKA,Post Graduate,0.0,0.0,0.0,0.0
AITC,0,70000,40000,RAJASTHAN,10th Pass,0.0,0.0,0.0,0.0
BJP,3,110000,5400,PUNJAB,Post Graduate,0.0,0.0,0.0,0.0
AAP,0,90000,10000,UTTARAKHAND,Post Graduate,0.0,0.0,0.0,0.0
YSRCP,4,1200,8100,PUNJAB,Graduate Professional,0.0,0.0,0.0,0.0
AAP,1,8400,4700,ODISHA,Graduate Professional,0.0,0.0,0.0,0.0
AAP,1,10000,100,TAMILNADU,Graduate,0.0,0.0,0.0,0.0
BJP,3,90000,10000,MAHARASHTRA,12th Pass,0.0,0.0,0.0,0.0
BJP,4,240000,1000,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
DMK,1,20000,90000,KARNATAKA,Post Graduate,0.0,0.0,0.0,0.0
BJP,3,0,2300,BIHAR,10th Pass,0.0,0.0,0.0,0.0
BJP,0,7000,170000,CHHATTISGARH,Post Graduate,0.0,0.0,0.0,0.0
INC,2,90000,0,ANDHRAPRADESH,12th Pass,0.0,0.0,0.0,0.0
INC,1,170000,2300,KARNATAKA,8th Pass,0.0,0.0,0.0,0.0
BJP,3,190000,5100,BIHAR,12th Pass,0.0,0.0,0.0,0.0
BJP,1,150000,10000,TAMILNADU,Graduate,0.0,0.0,0.0,0.0
BJP,1,20000,30000,RAJASTHAN,Post Graduate,0.0,0.0,0.0,0.0
NCP,0,40000,3900,TAMILNADU,Doctorate,0.0,0.0,0.0,0.0
BJP,1,60000,8400,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
BJP,1,80000,2300,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
BJP,6,60000,3200,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,150000,1200,BIHAR,Doctorate,1.0,0.0,0.0,0.0
INC,2,150000,0,MADHYAPRADESH,Post Graduate,0.0,0.0,0.0,0.0
BJP,5,0,10000,ODISHA,10th Pass,0.0,0.0,0.0,0.0
BJP,1,370000,8800,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
NCP,0,20000,110000,BIHAR,10th Pass,0.0,0.0,0.0,0.0
BJP,6,7900,6100,RAJASTHAN,10th Pass,0.0,0.0,0.0,0.0
BJP,0,700000,220000,ASSAM,10th Pass,1.0,0.0,0.0,0.0
BJP,0,20000,1600,DELHI,12th Pass,0.0,0.0,0.0,0.0
BJP,2,70000,0,BIHAR,Literate,0.0,0.0,0.0,0.0
DMK,0,120000,3400,RAJASTHAN,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,80000,2800,BIHAR,12th Pass,0.0,0.0,0.0,0.0
INC,0,4500,5000,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
BJP,6,440000,40000,PUNJAB,Post Graduate,1.0,0.0,0.0,0.0
AAP,1,0,10000,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,200000,1200,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
JD(U),0,8900,0,MADHYAPRADESH,Graduate,0.0,0.0,0.0,0.0
BJP,2,320000,400,KARNATAKA,12th Pass,0.0,0.0,0.0,0.0
DMK,0,20000,10000,MAHARASHTRA,10th Pass,0.0,0.0,0.0,0.0
YSRCP,1,90000,400,JHARKHAND,10th Pass,0.0,0.0,0.0,0.0
BJP,1,40000,20000,RAJASTHAN,Graduate,0.0,0.0,0.0,0.0
BJP,1,420000,100,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
INC,0,50000,0,BIHAR,12th Pass,0.0,0.0,0.0,0.0
BJP,0,150000,0,MADHYAPRADESH,Doctorate,1.0,0.0,0.0,0.0
YSRCP,0,20000,2800,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
BJP,0,30000,800,BIHAR,10th Pass,0.0,0.0,0.0,0.0
IND,1,90000,0,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
INC,4,10000,4100,DELHI,12th Pass,0.0,0.0,0.0,0.0
BJP,0,3400,2000,UTTARAKHAND,Post Graduate,0.0,0.0,0.0,0.0
AIADMK,0,0,300,UTTARPRADESH,10th Pass,0.0,0.0,0.0,0.0
INC,12,130000,1200,WESTBENGAL,12th Pass,0.0,0.0,0.0,0.0
BJP,0,9300,2200,GOA,12th Pass,0.0,0.0,0.0,0.0
AAP,0,10000,10000,UTTARAKHAND,12th Pass,0.0,0.0,0.0,0.0
BJP,0,40000,3800,KARNATAKA,Doctorate,1.0,0.0,0.0,0.0
CPI(M),15,2200,200,KERALA,10th Pass,0.0,1.0,0.0,0.0
AAP,2,7700,200,ANDHRAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,0,2400,10000,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
BJD,1,20000,50000,CHHATTISGARH,12th Pass,0.0,0.0,0.0,0.0
BJP,0,40000,200,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
DMK,3,90000,10000,ODISHA,Graduate,0.0,0.0,0.0,0.0
TDP,0,20000,2900,KERALA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,80000,20000,MEGHALAYA,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,520000,2000,KARNATAKA,Graduate,1.0,0.0,0.0,0.0
DMK,0,0,4100,KARNATAKA,12th Pass,0.0,0.0,0.0,0.0
CPI(M),1,10000,30000,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
INC,1,20000,8200,BIHAR,Graduate,0.0,0.0,0.0,0.0
BJP,6,480000,3000,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
DMK,0,40000,10000,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
AAP,5,8400,0,UTTARPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
INC,1,350000,5100,BIHAR,Graduate,0.0,0.0,0.0,0.0
CPI(M),3,480000,20000,UTTARPRADESH,Graduate,0.0,0.0,0.0,0.0
AAP,0,9400,1500,BIHAR,10th Pass,0.0,0.0,0.0,0.0
DMK,0,80000,3900,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
YSRCP,0,10000,7400,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
BJP,2,110000,80000,HARYANA,12th Pass,0.0,0.0,0.0,0.0
NCP,1,120000,2400,TAMILNADU,Graduate,0.0,0.0,0.0,0.0
INC,1,80000,200,HARYANA,12th Pass,0.0,0.0,0.0,0.0
BJP,0,80000,0,MADHYAPRADESH,Doctorate,1.0,0.0,0.0,0.0
BJP,0,20000,8300,MADHYAPRADESH,12th Pass,0.0,0.0,0.0,0.0
BJP,1,40000,60000,TAMILNADU,10th Pass,1.0,0.0,0.0,0.0
AAP,1,30000,100,RAJASTHAN,Graduate,0.0,0.0,0.0,0.0
BJP,0,90000,200,BIHAR,10th Pass,0.0,0.0,0.0,0.0
AIADMK,0,1900,1900,JHARKHAND,12th Pass,0.0,0.0,0.0,0.0
BJP,0,420000,1700,MADHYAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,1,480000,1600,TAMILNADU,12th Pass,0.0,0.0,0.0,0.0
DMK,12,20000,10000,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
DMK,4,20000,0,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,40000,10000,UTTARPRADESH,Post Graduate,0.0,0.0,0.0,0.0
AAP,0,0,0,DELHI,10th Pass,0.0,0.0,0.0,0.0
AAP,1,8200,2200,CHHATTISGARH,10th Pass,1.0,0.0,0.0,0.0
AAP,0,4100,300,KERALA,Graduate Professional,0.0,0.0,0.0,0.0
NCP,0,210000,30000,JHARKHAND,Graduate Professional,0.0,0.0,0.0,0.0
BJP,5,4410000,40000,BIHAR,10th Pass,0.0,0.0,0.0,0.0
AAP,0,9300,4100,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
INC,1,40000,10000,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
INC,4,0,300,RAJASTHAN,Graduate,0.0,0.0,0.0,0.0
BJP,14,8900,8300,MADHYAPRADESH,Graduate,1.0,0.0,0.0,0.0
BJP,0,80000,1900,BIHAR,12th Pass,0.0,0.0,0.0,0.0
CPI,6,20000,7600,MADHYAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,0,70000,30000,BIHAR,10th Pass,1.0,0.0,0.0,0.0
BJP,1,90000,1600,DELHI,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,40000,40000,PUNJAB,Post Graduate,0.0,0.0,0.0,0.0
BJP,3,150000,60000,TAMILNADU,8th Pass,0.0,0.0,0.0,0.0
DMK,0,0,1700,HARYANA,Doctorate,0.0,0.0,0.0,0.0
JD(U),3,20000,90000,ODISHA,8th Pass,0.0,0.0,0.0,0.0
BJP,0,10000,2100,KARNATAKA,Doctorate,0.0,0.0,0.0,0.0
BJP,1,30000,10000,MADHYAPRADESH,12th Pass,1.0,0.0,0.0,0.0
BJP,3,2410000,2600,PUNJAB,Graduate,0.0,0.0,0.0,0.0
BJP,1,20000,40000,ANDHRAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,1,60000,0,GUJARAT,8th Pass,0.0,0.0,0.0,0.0
AITC,2,150000,1900,UTTARAKHAND,Post Graduate,0.0,0.0,0.0,0.0
BJP,1,250000,0,TAMILNADU,Graduate,1.0,0.0,0.0,0.0
BJP,1,540000,5800,WESTBENGAL,Graduate,0.0,0.0,0.0,0.0
YSRCP,12,8800,1000,TAMILNADU,Post Graduate,0.0,0.0,0.0,0.0
RJD,1,160000,5800,DELHI,8th Pass,0.0,0.0,0.0,0.0
AITC,1,6900,8500,HIMACHALPRADESH,10th Pass,1.0,0.0,0.0,0.0
AAP,0,20000,1900,ARUNACHALPRADESH,10th Pass,0.0,0.0,0.0,0.0
YSRCP,0,40000,3000,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
NCP,0,7700,49,UTTARAKHAND,8th Pass,0.0,0.0,0.0,0.0
JMM,0,20000,0,ODISHA,Graduate,0.0,0.0,0.0,0.0
AAP,2,150000,0,PUNJAB,Graduate,0.0,0.0,0.0,0.0
BJP,1,20000,1900,PUNJAB,10th Pass,0.0,0.0,0.0,0.0
BJP,0,70000,1300,UTTARPRADESH,10th Pass,0.0,0.0,0.0,0.0
JD(U),1,60000,10000,BIHAR,Graduate,0.0,0.0,0.0,0.0
IND,1,0,7000,DELHI,12th Pass,0.0,0.0,0.0,0.0
AITC,0,220000,2300,TAMILNADU,Post Graduate,0.0,0.0,0.0,0.0
BJP,1,190000,2800,ANDHRAPRADESH,Post Graduate,0.0,0.0,0.0,0.0
INC,0,0,2900,BIHAR,10th Pass,0.0,0.0,0.0,0.0
INC,1,4410000,3000,PUNJAB,Graduate Professional,0.0,0.0,0.0,0.0
DMK,1,40000,20000,UTTARPRADESH,10th Pass,0.0,0.0,0.0,0.0
DMK,0,20000,8400,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,290000,10000,ANDHRAPRADESH,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,20000,500,WESTBENGAL,10th Pass,0.0,0.0,0.0,0.0
BJP,0,30000,10000,KARNATAKA,Doctorate,0.0,0.0,0.0,0.0
CPI(M),0,0,200,WESTBENGAL,Post Graduate,0.0,0.0,0.0,0.0
BJP,1,4100,80000,MADHYAPRADESH,10th Pass,0.0,0.0,0.0,0.0
CPI(M),0,10000,10000,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
RJD,0,40000,0,MADHYAPRADESH,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,10000,1400,GOA,10th Pass,0.0,0.0,0.0,0.0
BJP,0,30000,1200,BIHAR,Doctorate,0.0,0.0,0.0,0.0
INC,0,170000,30000,DELHI,Graduate Professional,0.0,0.0,0.0,0.0
INC,0,110000,1600,PUNJAB,Graduate,0.0,0.0,0.0,0.0
AAP,5,30000,7500,UTTARPRADESH,Post Graduate,0.0,0.0,0.0,0.0
NCP,30,8900,8200,CHHATTISGARH,Post Graduate,0.0,0.0,0.0,0.0
YSRCP,1,0,6000,MANIPUR,Graduate Professional,0.0,0.0,0.0,0.0
TDP,1,270000,60000,ANDHRAPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
BJP,47,5200,2900,BIHAR,12th Pass,1.0,0.0,0.0,0.0
AITC,1,10000,0,MADHYAPRADESH,8th Pass,0.0,0.0,0.0,0.0
NCP,0,0,4100,TAMILNADU,Graduate,0.0,0.0,0.0,0.0
BJD,0,10000,0,ANDHRAPRADESH,Graduate,0.0,0.0,0.0,0.0
BJP,3,30000,40000,UTTARPRADESH,10th Pass,0.0,0.0,0.0,0.0
DMK,1,390000,180000,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,0,8100,HIMACHALPRADESH,5th Pass,0.0,0.0,0.0,0.0
BJP,0,40000,30000,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
CPI(M),0,40000,2800,GUJARAT,10th Pass,0.0,0.0,0.0,0.0
IND,19,510000,100000,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
CPI(M),5,10000,0,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
AAP,0,100000,800,UTTARPRADESH,Graduate,0.0,0.0,0.0,0.0
BJD,1,950000,1600,ASSAM,Graduate,0.0,0.0,0.0,0.0
BJP,1,20000,0,MEGHALAYA,Post Graduate,0.0,0.0,0.0,0.0
JD(S),2,10000,30000,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
SHS,0,280000,3900,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
