ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
247,Rajeev Singh (Parichha),BABINA,BJP,2,9 Crore+,69 Lac+,UTTARPRADESH,10th Pass
248,Latha Mallikarjun,HARAPANAHALLI,IND,0,7 Crore+,64 Lac+,KARNATAKA,12th Pass
249,Raj Prasad Upadhyay,SADAR,BJP,0,7 Crore+,0,UTTARPRADESH,Post Graduate
250,Dinanath Bhashkar,AURAI (SC),BJP,2,7 Crore+,52 Lac+,UTTARPRADESH,Post Graduate
251,Gurdit Singh Sekhon,FARIDKOT,AAP,2,1 Crore+,3 Lac+,PUNJAB,10th Pass
252,Sanjay Kumar Singh,LALGANJ,BJP,1,2 Crore+,62 Lac+,BIHAR,Graduate
253,Botcha Satyanarayana,CHEEPURUPALLE,YSRCP,0,8 Crore+,1 Crore+,ANDHRAPRADESH,Graduate
254,Rajendra Prasad Singh (Raju Singh),NALHATI,AITC,0,83 Lac+,28 Lac+,WESTBENGAL,8th Pass
255,Kartar Singh Tanwar,CHHATARPUR,AAP,0,23 Crore+,12 Crore+,DELHI,Others
256,K M Shivalingegowda,ARSIKERE,INC,0,9 Crore+,7 Crore+,KARNATAKA,Graduate
257,Kishun Kumar Das,SIMARIA (SC),BJP,1,3 Crore+,0,JHARKHAND,Graduate
258,Vikram Singh,KHATAULI,BJP,2,1 Crore+,9 Lac+,UTTARPRADESH,10th Pass
259,Mathiazhagan D,BARGUR,DMK,0,71 Crore+,17 Crore+,TAMILNADU,Graduate
260,Pritam Singh,CHAKRATA (ST),INC,3,10 Crore+,99 Lac+,UTTARAKHAND,Graduate Professional
261,Niranjan Kumar Mehta,BIHARIGANJ,JD(U),0,0,0,BIHAR,Graduate
262,R Senthilkumar,BAHOUR,DMK,0,14 Crore+,3 Crore+,PUDUCHERRY,Post Graduate
263,Sushil Barman,MATHABHANGA (SC),BJP,2,10 Lac+,0,WESTBENGAL,Graduate
264,Bikram Chandra Pradhan,DANTAN,AITC,2,16 Lac+,1 Lac+,WESTBENGAL,12th Pass
265,Biswajit Kalai,TAKARJALA (ST),Tipra Motha Party,0,13 Lac+,0,TRIPURA,Post Graduate
266,Ashok Ramaji Wooike (Uike),RALEGAON (ST),BJP,1,1 Crore+,0,MAHARASHTRA,Post Graduate
267,Md. Afaque Alam,KASBA,INC,1,0,35 Thou+,BIHAR,Post Graduate
268,Arjun Singh Bamaniya,BANSWARA (ST),INC,0,14 Crore+,3 Crore+,RAJASTHAN,12th Pass
269,Tanmay Ghosh (Bumba),BISHNUPUR,BJP,0,0,1 Crore+,WESTBENGAL,Graduate
270,Sanjib Kumar Mallick,BHADRAK,BJD,0,19 Crore+,7 Crore+,ODISHA,Graduate Professional
271,Kumari Rita Chaudhary,MANDAWA,INC,0,64 Lac+,0,RAJASTHAN,Post Graduate
272,Digambar Kamat,MARGAO,INC,4,15 Crore+,20 Lac+,GOA,Graduate
273,Rambilas,LALSOT (ST),BJP,0,5 Crore+,8 Lac+,RAJASTHAN,10th Pass
274,H.R.Gaviyappa,VIJAYANAGARA,INC,1,48 Crore+,15 Lac+,KARNATAKA,10th Pass
275,Amanatullah Khan,OKHLA,AAP,12,3 Crore+,0,DELHI,12th Pass
276,Moti Lal Prasad,RIGA,BJP,4,0,2 Lac+,BIHAR,12th Pass
277,Jai Singh Maravi,JAITPUR (ST),BJP,0,1 Crore+,0,MADHYAPRADESH,10th Pass
278,Namri Nchang,TENNING (ST),NCP,0,2 Crore+,0,NAGALAND,Graduate
279,Ghanshyam Saraf,BHIWANI,BJP,0,8 Crore+,1 Crore+,HARYANA,Graduate
280,Bhavna Gaur,PALAM,AAP,0,14 Lac+,8 Lac+,DELHI,Graduate Professional
281,Kokani Mohanbhai Dhedabhai,VYARA (ST),BJP,0,0,0,GUJARAT,Post Graduate
282,J N Ganesh,KAMPLI (ST),INC,0,0,88 Lac+,KARNATAKA,12th Pass
283,Aidal Singh Kansana,SUMAWALI,BJP,0,2 Crore+,0,MADHYAPRADESH,8th Pass
284,Thomas A. Sangma,NORTH TURA (ST),NPP,1,3 Crore+,0,MEGHALAYA,12th Pass
285,Anant Kumar Ojha,RAJMAHAL,BJP,0,59 Lac+,0,JHARKHAND,Graduate
286,D.Vedavyasa Kamath,MANGALORE CITY SOUTH,BJP,1,40 Crore+,5 Crore+,KARNATAKA,Graduate
287,Kelu O.R.,MANANTHAVADY,CPI(M),1,37 Lac+,16 Lac+,KERALA,8th Pass
288,Alajangi Jogarao,PARVATHIPURAM,YSRCP,0,5 Crore+,1 Crore+,ANDHRAPRADESH,Post Graduate
289,Babubhai Jamnadas Patel,DASKROI,BJP,1,61 Crore+,81 Lac+,GUJARAT,10th Pass
290,Amit Subhashrao Zanak,RISOD,INC,0,4 Crore+,11 Lac+,MAHARASHTRA,Graduate Professional
291,Kavita Pran Lahrey,BILAIGARH (SC),INC,0,1 Crore+,8 Lac+,CHHATTISGARH,Graduate
292,Mohan Sharma,NARSINGHGARH,BJP,1,0,24 Lac+,MADHYAPRADESH,Graduate
293,Babanrao Dattatrya Yadav(Lonikar),PARTUR,BJP,1,4 Crore+,0,MAHARASHTRA,5th Pass
294,Peddireddy Dwarakanatha Reddy,THAMBALLAPALLE,YSRCP,2,22 Crore+,69 Lac+,ANDHRAPRADESH,8th Pass
295,Balkar Singh Sidhu,RAMPURA PHUL,AAP,0,1 Crore+,4 Lac+,PUNJAB,Graduate
296,Debnath Hansda,BINPUR (ST),AITC,0,3 Lac+,0,WESTBENGAL,8th Pass
297,Adv.P.T.Thomas,THRIKKAKARA,INC,9,1 Crore+,58 Lac+,KERALA,Post Graduate
298,Harish Chandra Meena,DEOLI-UNIARA,INC,0,22 Crore+,0,RAJASTHAN,Graduate
299,Shalabh Mani Tripathi,DEORIA,BJP,0,6 Crore+,10 Lac+,UTTARPRADESH,Doctorate
300,Kuldeep Vats,BADLI,INC,0,4 Crore+,26 Lac+,HARYANA,10th Pass
301,Mahesh Jeena,SALT,BJP,2,3 Crore+,0,UTTARAKHAND,Graduate
302,B.Suresh Gowda,TUMKUR RURAL,BJP,2,13 Crore+,97 Lac+,KARNATAKA,Graduate
303,Shanthi Reddy,PATHAPATNAM,YSRCP,0,6 Crore+,20 Lac+,ANDHRAPRADESH,10th Pass
304,Yashavantaraygoud. Vittalagoud. Patil,INDI,INC,3,11 Crore+,3 Crore+,KARNATAKA,12th Pass
305,Vijay Singla,MANSA,AAP,0,6 Crore+,27 Lac+,PUNJAB,Graduate Professional
306,"Rajanchellappa, V.V.",THIRUPARANKUNDRAM,AIADMK,0,6 Crore+,1 Crore+,TAMIL NADU,10th Pass
307,Baren Chandra Barman,SITALKUCHI (SC),BJP,1,60 Lac+,11 Lac+,WESTBENGAL,Post Graduate
308,Kadam Vishwajeet Patangrao,PALUS-KADEGAON,INC,0,0,121 Crore+,MAHARASHTRA,Doctorate
309,Sanjeev Kumar,BHADRA,BJP,0,0,11 Lac+,RAJASTHAN,Post Graduate
310,Choudhary Sujeet Mersingh,CHURAI,INC,0,1 Crore+,19 Lac+,MADHYAPRADESH,Post Graduate
311,K.N. Unnikrishnan,VYPEN,CPI(M),1,1 Crore+,0,KERALA,10th Pass
312,Rivasinh Hardevsinh Solanki (Rivaba Ravindrasinh Jadeja),JAMNAGAR NORTH,BJP,0,97 Crore+,0,GUJARAT,10th Pass
313,Ravi Thakur,LAHAUL AND SPITI (ST),INC,0,12 Crore+,4 Crore+,HIMACHALPRADESH,Graduate
314,Ambrish Sharma (Guddu),LAHAR,BJP,0,5 Crore+,0,MADHYAPRADESH,Graduate Professional
315,Ramesh Chandra Behera,DASPALLA,BJD,0,1 Crore+,96 Lac+,ODISHA,Post Graduate
316,Mukesh Kumar Ahlawat,SULTANPUR MAJRA,AAP,0,6 Crore+,6 Lac+,DELHI,12th Pass
317,Riteshkumar Ramanbhai Vasava,JHAGADIA (ST),BJP,0,2 Crore+,30 Lac+,GUJARAT,8th Pass
318,Bishnubrata Routray,BASUDEVPUR,BJD,0,7 Crore+,2 Crore+,ODISHA,Graduate
319,Vallabhaneni Vamsi Mohan,GANNAVARAM,TDP,0,83 Crore+,6 Crore+,ANDHRAPRADESH,Post Graduate
320,Er. Pradeep Lariya,NARYOLI (SC),BJP,2,4 Crore+,1 Crore+,MADHYAPRADESH,Others
321,Bhawani Singh Pathania,FATEHPUR,INC,0,18 Crore+,3 Crore+,HIMACHALPRADESH,Graduate Professional
322,J.L.Eswarappan,ARCOT,DMK,0,13 Crore+,7 Crore+,TAMILNADU,Graduate Professional
323,Chhotu Singh,JAISALMER,BJP,0,70 Lac+,0,RAJASTHAN,10th Pass
324,Kuldeep,VIRATNAGAR,BJP,0,12 Lac+,2 Lac+,RAJASTHAN,10th Pass
325,Nirmal Ghosh,PANIHATI,AITC,0,1 Crore+,0,WESTBENGAL,Graduate
326,Mauvin Heliodoro Godinho,DABOLIM,BJP,0,22 Crore+,0,GOA,Graduate
327,Sudhangshu Das,FATIKROY (SC),BJP,0,0,12 Lac+,TRIPURA,Graduate
328,Chhatrapati Yadav,KHAGARIA,INC,1,1 Crore+,0,BIHAR,Post Graduate
329,Temjen Imna Along,ALONGTAKI (ST),BJP,0,10 Crore+,0,NAGALAND,12th Pass
330,Sahina Momtaz Khan,NOWDA,AITC,0,3 Crore+,40 Lac+,WESTBENGAL,10th Pass
331,Karsanbhai Punjabhai Solanki,KADI (SC),BJP,0,77 Lac+,33 Lac+,GUJARAT,Literate
332,Devendra Yadav,BHILAI NAGAR,INC,4,4 Crore+,2 Crore+,CHHATTISGARH,12th Pass
333,Sankara Rao Namburu,PEDAKURAPADU,YSRCP,0,27 Crore+,7 Crore+,ANDHRAPRADESH,12th Pass
334,Abhishek Debroy,MATARBARI,BJP,0,0,50 Lac+,TRIPURA,Graduate Professional
335,Desai Shambhuraj Shivajirao,PATAN,SHS,0,14 Crore+,1 Crore+,MAHARASHTRA,12th Pass
336,V N Vasavan,ETTUMANOOR,CPI(M),1,94 Lac+,0,KERALA,10th Pass
337,Nitendra Singh Rathore,PRITHVIPUR,INC,1,25 Crore+,4 Crore+,MADHYAPRADESH,Others
338,Dilip Ray,SURSAND,JD(U),2,4 Crore+,29 Lac+,BIHAR,12th Pass
339,Ramvir Singh Bidhuri,BADARPUR,BJP,0,20 Crore+,36 Lac+,DELHI,Graduate
340,P.Geetha Jeevan,THOOTHUKUDI,DMK,15,0,1 Crore+,TAMILNADU,Post Graduate
341,Mukut Mani Adhikari,RANAGHAT DAKSHIN (SC),BJP,0,53 Lac+,12 Lac+,WESTBENGAL,Graduate Professional
342,Biplab Roy Chowdhury,PANSKURA PURBA,AITC,0,35 Lac+,0,WESTBENGAL,12th Pass
343,Ajay Kumar,BIBHUTIPUR,CPI(M),3,1 Crore+,50 Thou+,BIHAR,Post Graduate
344,Col. Rajyavardhan Rathore,JHOTWARA,BJP,0,0,1 Crore+,RAJASTHAN,Graduate
345,Singareddy Ravi Chandra Kishore Reddy,NANDYAL,YSRCP,4,51 Crore+,35 Crore+,ANDHRAPRADESH,Post Graduate
346,Sarvjit Kaur Manuke,JAGRAON (SC),AAP,1,16 Lac+,2 Lac+,PUNJAB,Post Graduate
347,Jawaharsingh Bedham,NAGAR,BJP,1,4 Crore+,34 Lac+,RAJASTHAN,Graduate Professional
348,Anbil Mahesh Poyyamozhi,THIRUVERUMBUR,DMK,9,9 Crore+,5 Lac+,TAMILNADU,Post Graduate
349,Gabriel Wahlang,NONGSTOIN (ST),INC,0,89 Lac+,55 Lac+,MEGHALAYA,Post Graduate
350,K. Babu,THRIPUNITHURA,INC,12,2 Crore+,0,KERALA,Graduate
351,Saneeshkumar Joseph,CHALAKKUDY,INC,10,2 Crore+,51 Lac+,KERALA,Graduate
352,Rudrappa Manappa Lamani,HAVERI (SC),INC,0,10 Crore+,3 Crore+,KARNATAKA,Graduate
353,Rodolfo Louis Fernandes,ST. CRUZ,INC,1,34 Crore+,72 Lac+,GOA,10th Pass
354,Y Mankhao Konyak,MON TOWN (ST),NCP,0,13 Lac+,0,NAGALAND,Graduate
355,Ramakrishna Reddy Pinnelli,MACHERLA,YSRCP,4,6 Crore+,2 Crore+,ANDHRAPRADESH,12th Pass
356,Dr. Raj Kumar,CHABBEWAL (SC),INC,0,20 Crore+,5 Crore+,PUNJAB,Post Graduate
357,Avinash Gehlot,JAITARAN,BJP,0,1 Crore+,24 Lac+,RAJASTHAN,Graduate Professional
358,Harshita Swami Baghel,DONGARGARH (SC),INC,0,2 Crore+,63 Lac+,CHHATTISGARH,Post Graduate
359,Kushwaha Shashi Bhushan Mehta,PANKI,BJP,11,27 Crore+,1 Crore+,JHARKHAND,Doctorate
360,Vikhe Patil Radhakrishna Eknathrao,SHIRDI,BJP,0,0,0,MAHARASHTRA,Graduate
361,Ritaben Ketankumar Patel,GANDHINAGAR NORTH,BJP,0,20 Crore+,1 Crore+,GUJARAT,Post Graduate
362,Subash Chandra Panigrahi,DEOGARH,BJP,2,3 Crore+,0,ODISHA,12th Pass
363,Amar Prasad Satpathy,BARACHANA,BJD,0,1 Crore+,15 Thou+,ODISHA,Post Graduate
364,M.Chandrappa,HOLALKERE (SC),BJP,0,25 Crore+,5 Lac+,KARNATAKA,Graduate
365,Dungarram Gedar,SURATGARH,INC,0,23 Lac+,0,RAJASTHAN,Graduate
366,Aniket Girishbhai Thaker,PALANPUR,BJP,0,49 Lac+,2 Lac+,GUJARAT,Graduate
367,Vishnu Deo Sai,KUNKURI (ST),BJP,0,3 Crore+,65 Lac+,CHHATTISGARH,10th Pass
368,Ashis Marjit,KHARGRAM (SC),AITC,1,50 Lac+,0,WESTBENGAL,12th Pass
369,Anita Devi,NOKHA,RJD,1,1 Crore+,12 Lac+,BIHAR,12th Pass
370,Gollapalli Srinivas Ashok,YANAM,IND,0,0,0,PUDUCHERRY,Post Graduate
371,B P Harish,HARIHAR,BJP,0,5 Crore+,1 Crore+,KARNATAKA,Graduate
372,Rajkumar Sahyogi,IGLAS (SC),BJP,0,6 Crore+,0,UTTARPRADESH,10th Pass
373,Rajeev Gumber,SAHARANPUR NAGAR,BJP,4,2 Crore+,0,UTTARPRADESH,12th Pass
374,Gunjeshwar Sah,MAHISHI,JD(U),0,1 Crore+,0,BIHAR,Graduate
375,Amit Singh Chauhan,BIKAPUR,BJP,0,1 Crore+,12 Lac+,UTTARPRADESH,Graduate Professional
376,Katti Nikhil Umesh,HUKKERI,BJP,1,121 Crore+,97 Thou+,KARNATAKA,Post Graduate
377,Yogesh R. Patel (Bapji),ANAND,BJP,0,46 Crore+,1 Crore+,GUJARAT,10th Pass
378,Jagarnnath Saraka,BISSAM CUTTACK,BJD,1,83 Lac+,4 Lac+,ODISHA,Graduate Professional
379,Dilip Bhausaheb Lande,CHANDIVALI,SHS,8,2 Crore+,3 Lac+,MAHARASHTRA,Graduate
380,Arvind Pandey,GADARPUR,BJP,2,1 Crore+,0,UTTARAKHAND,Graduate
381,Sambhu Lal Chakma,CHAWMANU (ST),BJP,0,15 Lac+,23 Lac+,TRIPURA,Graduate Professional
382,Abdul Rehman,SEELAMPUR,AAP,2,68 Lac+,0,DELHI,8th Pass
383,Vijay Kumar Sinha,LAKHISARAI,BJP,1,8 Crore+,22 Lac+,BIHAR,Others
384,Shamim Ahmad,NARKATIA,RJD,0,4 Crore+,62 Lac+,BIHAR,Graduate Professional
385,Mohan Singh Bisht,KARAWAL NAGAR,BJP,0,2 Crore+,0,DELHI,12th Pass
386,Malti Kishor Maheshwari,GANDHIDHAM (SC),BJP,0,50 Lac+,5 Lac+,GUJARAT,Graduate
387,Dasanglu Pul,HAYULIANG,BJP,0,6 Crore+,0,ARUNACHALPRADESH,12th Pass
388,Harvinder Kumar Sahni Alias Romi Sahni,PALIA,BJP,0,28 Crore+,4 Crore+,UTTARPRADESH,Graduate
389,Ashok Kumar Singh,PAROO,BJP,3,2 Crore+,18 Lac+,BIHAR,Literate
390,Satish Krishna Sail,KARWAR,INC,14,56 Crore+,17 Crore+,KARNATAKA,Graduate
391,Ramvriksh Sada,ALAULI (SC),RJD,5,70 Thou+,0,BIHAR,10th Pass
392,Jai Pratap Singh,BANSI,BJP,0,0,0,UTTARPRADESH,Graduate
393,Priya Paul,SANKRAIL (SC),AITC,0,54 Lac+,0,WESTBENGAL,Post Graduate
394,Thalathoti Jaya Ratna Sudhakar Babu,SANTHANUTHALAPADU,YSRCP,0,69 Lac+,0,ANDHRAPRADESH,Post Graduate
395,Kavita Devi,KORHA (SC),BJP,0,2 Crore+,0,BIHAR,12th Pass
396,Mule Sudheer Reddy,JAMMALAMADUGU,YSRCP,4,11 Crore+,59 Lac+,ANDHRAPRADESH,Graduate Professional
397,Prajakt Prasadrao Tanpure,RAHURI,NCP,2,6 Crore+,3 Crore+,MAHARASHTRA,Post Graduate
398,A P Anilkumar,WANDOOR,INC,1,68 Lac+,0,KERALA,12th Pass
399,Shyam Bihari Jaiswal,MANENDRAGARH,BJP,0,12 Crore+,5 Crore+,CHHATTISGARH,Post Graduate
400,Bikram Kumar Panda,BERHAMPUR,BJD,1,8 Crore+,4 Crore+,ODISHA,Post Graduate
401,A.M.H. Nazim,KARAIKAL SOUTH,DMK,9,51 Lac+,0,PUDUCHERRY,12th Pass
402,Madan Dilawar,RAMGANJ MANDI (SC),BJP,14,4 Crore+,41 Lac+,RAJASTHAN,Others
403,Shatrughan Gautam,KEKRI,BJP,1,10 Crore+,4 Crore+,RAJASTHAN,Graduate
404,Aniruddh Kumar,BAKHTIARPUR,RJD,11,2 Crore+,12 Lac+,BIHAR,12th Pass
405,Shivpal Singh Yadav,JASWANTNAGAR,SP,0,11 Crore+,1 Crore+,UTTARPRADESH,Graduate Professional
406,Dr Ashwath Narayan C N,MALLESHWARAM,BJP,1,17 Crore+,40 Lac+,KARNATAKA,Graduate Professional
407,Patel Raghavjibhai Hansrajbhai,JAMNAGAR RURAL,BJP,1,3 Crore+,25 Lac+,GUJARAT,Graduate Professional
408,Chandrabhan Singh Chouhan,CHITTORGARH,IND,0,27 Crore+,5 Crore+,RAJASTHAN,Post Graduate
409,Deshmukh Subhash Sureshchandra,SOLAPUR SOUTH,BJP,4,48 Crore+,17 Crore+,MAHARASHTRA,10th Pass
410,Ranjit Das,AMARPUR,BJP,0,24 Lac+,0,TRIPURA,12th Pass
411,Abhedananda Thander,AUSGRAM (SC),AITC,0,59 Lac+,0,WESTBENGAL,10th Pass
412,Shobharani Kushwah,DHOLPUR,INC,4,10 Crore+,1 Crore+,RAJASTHAN,Post Graduate
413,Ghanshyam,TODABHIM (ST),INC,1,1 Crore+,4 Lac+,RAJASTHAN,8th Pass
414,Paul Manoj Pandian,ALANGULAM,AIADMK,3,16 Crore+,2 Crore+,TAMILNADU,Post Graduate
415,Imran Khedawala,JAMALPUR-KHADIA,INC,2,1 Crore+,0,GUJARAT,10th Pass
416,Chandra Shekhar,MADHEPURA,RJD,3,2 Crore+,40 Lac+,BIHAR,Post Graduate
417,Ashokkumar.K,KRISHNAGIRI,AIADMK,0,36 Lac+,0,TAMILNADU,10th Pass
418,Ramesh Chandra Sai,ATHAMALLIK,BJD,0,1 Crore+,6 Lac+,ODISHA,Graduate
419,Hemant Satyadev Katare,ATER,INC,2,2 Crore+,2 Crore+,MADHYAPRADESH,Graduate Professional
420,Minakshi Mahanta,CHAMPUA,BJD,0,8 Crore+,1 Crore+,ODISHA,Graduate
421,Inderjit Kaur Mann,NAKODAR,AAP,1,91 Lac+,23 Lac+,PUNJAB,Graduate
422,Sanjay Rambhau Gaikwad,BULDHANA,SHS,5,1 Crore+,39 Lac+,MAHARASHTRA,8th Pass
423,Ved Prakash,AYODHYA,BJP,0,5 Crore+,12 Lac+,UTTARPRADESH,Graduate
424,Dr. Shailesh Singh,DEEG-KUMHER,BJP,1,21 Crore+,35 Lac+,RAJASTHAN,Graduate Professional
425,Omprakash Dhurwey,SHAHPURA (ST),BJP,0,2 Crore+,1 Crore+,MADHYAPRADESH,12th Pass
426,Dilip Singh Parihar,NEEMUCH,BJP,1,4 Crore+,1 Crore+,MADHYAPRADESH,Post Graduate
427,Jadab Swargiary,DUDHNAI (ST),INC,0,31 Lac+,0,ASSAM,Graduate
428,Raman Arora,JALANDHAR CENTRAL,AAP,0,2 Crore+,24 Lac+,PUNJAB,Graduate
429,Bhaskar Jyoti Baruah,TITABAR,INC,0,11 Crore+,6 Crore+,ASSAM,Graduate
430,Subhash Tripathi,PAYAGPUR,BJP,4,4 Crore+,61 Thou+,UTTARPRADESH,Post Graduate
431,Haokholet Kipgen,SAITU (ST),IND,0,7 Crore+,0,MANIPUR,10th Pass
432,Anagani Satyaprasad,REPALLE,TDP,1,8 Crore+,39 Lac+,ANDHRAPRADESH,Graduate
433,Ghanshayam Singh Chandrawanshi,KALAPIPAL,BJP,1,0,1 Lac+,MADHYAPRADESH,Post Graduate
434,Mariya,MATERA,SP,0,0,5 Crore+,UTTARPRADESH,10th Pass
435,Pankaj Upadhyay,JAURA,INC,3,6 Crore+,2 Crore+,MADHYAPRADESH,Post Graduate
436,Raghunath Gomango,GUNUPUR,BJD,0,31 Lac+,13 Lac+,ODISHA,Graduate
437,Altone D Costa,QUEPEM,INC,0,20 Crore+,30 Lac+,GOA,10th Pass
438,Bhagaban Chandra Das,PABIACHARA (SC),BJP,0,98 Lac+,53 Lac+,TRIPURA,8th Pass
439,Sabhakunwar,BHATPAR RANI,BJP,0,1 Crore+,8 Lac+,UTTARPRADESH,Post Graduate
440,Kudecho Khamo,CHAZOUBA (ST),NDPP,0,0,0,NAGALAND,Post Graduate
441,Praveen Dagar,HATHIN,BJP,0,57 Lac+,0,HARYANA,Graduate
442,Sombir,DADRI,IND,10,1 Crore+,0,HARYANA,10th Pass
443,Kunduru Nagarjuna Reddy,MARKAPURAM,YSRCP,0,10 Crore+,6 Lac+,ANDHRAPRADESH,Post Graduate
444,Adv. P. A Mohamed Riyas,BEYPORE,CPI(M),12,1 Crore+,5 Lac+,KERALA,Graduate Professional
445,Srinivasa Venu Gopala Krishna Chelluboyina,RAMACHANDRAPURAM,YSRCP,0,3 Crore+,13 Lac+,ANDHRAPRADESH,Graduate
446,Kelkar Sanjay Mukund,THANE,BJP,0,4 Crore+,1 Crore+,MAHARASHTRA,Graduate
447,Aftab Ahmed,NUH,INC,0,7 Crore+,0,HARYANA,Graduate Professional
448,Ram Singh Kaira,BHIMTAL,BJP,0,1 Crore+,9 Lac+,UTTARAKHAND,Graduate
449,Mahidhar Rana,KANTAMAL,BJD,0,41 Lac+,0,ODISHA,8th Pass
450,Ruden Sada Lepcha,KALIMPONG,IND,3,0,12 Crore+,WESTBENGAL,Graduate
451,Ajit Pal Tyagi,MURADNAGAR,BJP,0,9 Crore+,1 Crore+,UTTARPRADESH,Graduate Professional
452,Dhirendra Bahadur Singh (Dhiru),BARWARA (ST),BJP,0,79 Lac+,10 Lac+,MADHYAPRADESH,Post Graduate
453,Shanti Dhariwal,KOTA NORTH,INC,0,10 Crore+,0,RAJASTHAN,Graduate Professional
454,Manju Tyagi,SRI NAGAR (SC),BJP,0,3 Crore+,0,UTTARPRADESH,Post Graduate
455,Rajesh Kumar Verma,GUNNAOR (SC),BJP,2,2 Crore+,37 Lac+,MADHYAPRADESH,12th Pass
456,Krishna Nayaka,HADAGALI (SC),BJP,1,42 Crore+,34 Crore+,KARNATAKA,Graduate Professional
457,M.K. Stalin,KOLATHUR,DMK,47,8 Crore+,0,TAMILNADU,Graduate
458,Dr. Nirmal Maji,ULUBERIA UTTAR (SC),AITC,2,84 Lac+,3 Lac+,WESTBENGAL,Post Graduate
459,Kirat Singh,GANGOH,BJP,0,2 Crore+,11 Lac+,UTTARPRADESH,Graduate
460,Arunmozhithevan. A,BHUVANAGIRI,AIADMK,0,3 Crore+,1 Crore+,TAMILNADU,Graduate Professional
461,Jeet Ram Katwal,JHANDUTA (SC),BJP,1,3 Crore+,19 Lac+,HIMACHALPRADESH,Post Graduate
462,Shunmugaiah C,OTTAPIDARAM (SC),DMK,10,1 Crore+,13 Lac+,TAMILNADU,Graduate Professional
463,Patel Kiritkumar Keshavlal (K K Patel),UNJHA,BJP,0,44 Crore+,14 Crore+,GUJARAT,Graduate Professional
464,Krushna Pancham Khopde,NAGPUR EAST,BJP,2,10 Crore+,4 Crore+,MAHARASHTRA,5th Pass
465,Madan Kaushik,HARIDWAR,BJP,0,6 Crore+,52 Lac+,UTTARAKHAND,Graduate Professional
466,Omkar Singh Markam,DINDORI (ST),INC,0,1 Crore+,0,MADHYAPRADESH,Post Graduate
467,Aseem Goel,AMBALA CITY,BJP,0,5 Crore+,38 Lac+,HARYANA,Graduate
468,Chetan Anand,SHEOHAR,RJD,0,67 Lac+,0,BIHAR,Graduate Professional
469,Sachin Pilot,TONK,INC,0,7 Crore+,0,RAJASTHAN,Post Graduate
470,Raymuni Bhagat,JASHPUR (ST),BJP,0,1 Crore+,0,CHHATTISGARH,Graduate
471,Yoonus Khan,DEEDWANA,IND,0,2 Crore+,57 Lac+,RAJASTHAN,Post Graduate
472,Sudhir Sharma,DHARAMSHALA,INC,0,8 Crore+,60 Lac+,HIMACHALPRADESH,Graduate
473,Shyamal Chakraborty,SONAMURA,CPI(M),1,1 Crore+,0,TRIPURA,12th Pass
474,Chhagan Singh Rajpurohit,AHORE,BJP,1,1 Crore+,24 Lac+,RAJASTHAN,Graduate Professional
475,Sheetal Angural,JALANDHAR WEST (SC),AAP,9,1 Crore+,23 Lac+,PUNJAB,10th Pass
476,Rit Lal Ray,DANAPUR,RJD,14,12 Crore+,0,BIHAR,12th Pass
477,Champai Soren,SERAIKELLA (ST),JMM,1,2 Crore+,84 Lac+,JHARKHAND,10th Pass
478,Tarin Dakpe,RAGA,NPP,2,14 Crore+,0,ARUNACHALPRADESH,Graduate
479,Saji Cherian,CHENGANNUR,CPI(M),0,0,2 Lac+,KERALA,Graduate
480,Dr. Asif Mohammad Nazar,LAHARIGHAT,INC,0,10 Crore+,2 Crore+,ASSAM,Post Graduate
481,Kishore Kumar Mohanty,BRAJARAJNAGAR,BJD,6,7 Crore+,34 Lac+,ODISHA,Graduate Professional
482,Bhim Kumar Singh,GOH,RJD,1,6 Crore+,12 Lac+,BIHAR,Graduate
483,Shivnarayan Gyan Singh (Lallu Bhaiya),BANDHAVGARH (ST),BJP,0,60 Lac+,0,MADHYAPRADESH,Graduate
484,Mewa Singh,LADWA,INC,0,4 Crore+,23 Lac+,HARYANA,Graduate
485,Gurpreet Bassi Gogi,LUDHIANA WEST,AAP,1,5 Crore+,0,PUNJAB,Graduate
486,Rajkumar Imo Singh,SAGOLBAND,BJP,0,7 Crore+,83 Lac+,MANIPUR,Post Graduate
487,Mohan Charan Majhi,KEONJHAR,BJP,2,1 Crore+,1 Crore+,ODISHA,Graduate Professional
488,Gajbe Krushna Damaji,ARMORI (ST),BJP,0,80 Lac+,1 Lac+,MAHARASHTRA,Graduate
489,Bechai,LALGANJ (SC),SP,0,0,5 Lac+,UTTARPRADESH,12th Pass
490,Jitendra Kumar,ASTHAWAN,JD(U),1,3 Crore+,0,BIHAR,Doctorate
491,Sundararajan,SANKARI,AIADMK,0,0,2 Lac+,TAMILNADU,Graduate
492,Ranendra Pratap Swain,ATHAGARH,BJD,0,2 Crore+,27 Lac+,ODISHA,Post Graduate
493,Shaileshbhai Kanaiyalal Mehta (Shailesh Sotta),DABHOI,BJP,1,32 Crore+,13 Crore+,GUJARAT,Others
494,Mangalprabhat Lodha,MALABAR HILL,BJP,5,441 Crore+,283 Crore+,MAHARASHTRA,Graduate Professional
495,Archana Chitnis,BURHANPUR,BJP,2,3 Crore+,0,MADHYAPRADESH,Post Graduate
496,Ojing Tasing,PANGIN,BJP,3,1 Crore+,0,ARUNACHALPRADESH,Graduate
