ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
703,Vijai Sardesai,FATORDA,Goa Forward Party,1,37 Crore+,6 Crore+,GOA,Graduate
704,Premendra Vishnu Shet,MAEM,BJP,0,4 Crore+,1 Crore+,GOA,Graduate
705,Jit Vinayak Arolkar,MANDREM,Maharashtrawadi Gomantak,2,11 Crore+,3 Crore+,GOA,10th Pass
706,Joshua Peter De Souza,MAPUSA,BJP,0,4 Crore+,32 Lac+,GOA,Graduate
707,Ramkrishna Dhavalikar,MARCAIM,Maharashtrawadi Gomantak,0,16 Crore+,50 Lac+,GOA,Graduate
708,Digambar Kamat,MARGAO,INC,4,15 Crore+,20 Lac+,GOA,Graduate
709,Sankalp Amonkar,MORMUGAO,INC,5,7 Crore+,3 Crore+,GOA,Graduate
710,Ulhas Tuenkar,NAVELIM,BJP,0,2 Crore+,1 Lac+,GOA,Others
711,Aleixo Sequeira,NUVEM,INC,0,0,5 Lac+,GOA,Graduate
712,Atanasio Monserrate,PANAJI,BJP,3,48 Crore+,6 Crore+,GOA,12th Pass
713,Pravin Prabhakar Arlekar,PERNEM (SC),BJP,0,4 Crore+,47 Lac+,GOA,8th Pass
714,Ravi Naik,PONDA,BJP,1,14 Crore+,39 Thou+,GOA,Post Graduate
715,Deviya Vishwajit Rane,PORIEM,BJP,0,23 Crore+,11 Crore+,GOA,Graduate Professional
716,Rohan Khaunte,PORVORIM,BJP,1,21 Crore+,3 Crore+,GOA,Others
717,Govind Shepu Gaude,PRIOL,BJP,1,2 Crore+,29 Lac+,GOA,Others
718,Altone D Costa,QUEPEM,INC,0,20 Crore+,30 Lac+,GOA,10th Pass
719,Kedar Jayprakash Naik,SALIGAO,INC,1,4 Crore+,1 Crore+,GOA,Graduate
720,Subhash Uttam Phal Dessai,SANGUEM,BJP,0,8 Crore+,1 Crore+,GOA,Post Graduate
721,Dr. Pramod Sawant,SANQUELIM,BJP,0,0,1 Crore+,GOA,Post Graduate
722,Ganesh Gaonkar,SANVORDEM,BJP,0,19 Crore+,4 Crore+,GOA,Graduate
723,Delilah Michael Lobo,SIOLIM,INC,2,92 Crore+,28 Crore+,GOA,Graduate
724,Subhash Shirodkar,SIRODA,BJP,0,4 Crore+,1 Crore+,GOA,12th Pass
725,Viresh Mukesh Borkar,ST. ANDRE,Revolutionary Goans Party,0,8 Lac+,3 Lac+,GOA,12th Pass
726,Rodolfo Louis Fernandes,ST. CRUZ,INC,1,34 Crore+,72 Lac+,GOA,10th Pass
727,Jennifer Monserrate,TALEIGAO,BJP,1,48 Crore+,6 Crore+,GOA,12th Pass
728,Nilkanth Ramnath Halarnkar,TIVIM,BJP,0,8 Crore+,72 Lac+,GOA,10th Pass
729,Vishwajit Pratapsingh Rane,VALPOI,BJP,0,23 Crore+,11 Crore+,GOA,Graduate
730,Krishna V. Salkar,VASCO-DA-GAMA,BJP,1,5 Crore+,7 Lac+,GOA,Graduate
731,Cruz Silva,VELIM,AAP,0,0,95 Lac+,GOA,Graduate Professional
732,Jadeja Pradhyumansinh Mahipatsinh,ABDASA,BJP,0,1 Crore+,15 Lac+,GUJARAT,Literate
733,Chaitanya Makarandbhai Desai,AKOTA,BJP,0,8 Crore+,,GUJARAT,10th Pass
734,Dr. Hasmukh Patel,AMRAIWADI,BJP,0,86 Lac+,20 Lac+,GUJARAT,Post Graduate
735,Kaushik Kantibhai Vekariya,AMRELI,BJP,0,3 Crore+,,GUJARAT,Graduate
736,Yogesh R. Patel (Bapji),ANAND,BJP,0,46 Crore+,1 Crore+,GUJARAT,10th Pass
737,Chhanga Trikam Bijal,ANJAR,BJP,0,99 Lac+,4 Lac+,GUJARAT,Graduate Professional
738,Amit Chavda,ANKLAV,INC,0,2 Crore+,15 Lac+,GUJARAT,Others
739,Ishwarsinh Thakorbhai Patel,ANKLESHWAR,BJP,0,4 Crore+,74 Lac+,GUJARAT,Graduate
740,Darshna M. Vaghela,ASARWA (SC),BJP,0,2 Crore+,63 Lac+,GUJARAT,Graduate
741,Mansinh Kohyabhai Chauhan,BALASINOR,BJP,1,0,6 Lac+,GUJARAT,Graduate Professional
742,Anantkumar Hasmukhbhai Patel,BANSDA (ST),INC,5,1 Crore+,12 Lac+,GUJARAT,Post Graduate
743,Dineshsinh Rajendrasinh Kushwaha,BAPUNAGAR,BJP,0,6 Crore+,1 Crore+,GUJARAT,12th Pass
744,Ishvarbhai Alias Anilbhai Ramanbhai Parmar,BARDOLI (SC),BJP,0,2 Crore+,25 Lac+,GUJARAT,10th Pass
745,Dhavalsinh Narendrasinh Zala,BAYAD,IND,1,16 Crore+,2 Crore+,GUJARAT,Post Graduate
746,Dr. Thakor Sukhaji Somaji,BECHARAJI,BJP,0,33 Lac+,3 Lac+,GUJARAT,Graduate
747,Rameshbhai Narandas Mistry,BHARUCH,BJP,2,1 Crore+,,GUJARAT,10th Pass
748,Sejalben Rajivkumar Pandya,BHAVNAGAR EAST,BJP,0,43 Lac+,,GUJARAT,Graduate
749,Parshottambhai O. Solanki,BHAVNAGAR RURAL,BJP,3,53 Crore+,8 Crore+,GUJARAT,Others
750,Jitendrabhai Savajibhai Vaghani,BHAVNAGAR WEST,BJP,4,8 Crore+,2 Crore+,GUJARAT,Graduate Professional
751,P.C.Baranda,BHILODA (ST),BJP,0,0,,GUJARAT,Graduate
752,Keshubhai Shivdas Patel,BHUJ,BJP,0,6 Crore+,10 Lac+,GUJARAT,5th Pass
753,Solanki Ramanbhai Bhikhabhai,BORSAD,BJP,0,67 Lac+,12 Lac+,GUJARAT,10th Pass
754,Makwana Umeshbhai Naranbhai,BOTAD,AAP,0,85 Lac+,28 Lac+,GUJARAT,Graduate Professional
755,Thakor Dineshbhai Ataji,CHANASMA,INC,0,5 Crore+,53 Lac+,GUJARAT,12th Pass
756,Rajendrasinh Mohansinh Rathva,CHHOTA UDAIPUR (ST),BJP,0,4 Crore+,18 Lac+,GUJARAT,12th Pass
757,Sandip Desai,CHORYASI,BJP,0,9 Crore+,17 Lac+,GUJARAT,12th Pass
758,Chauhan Shamajibhai Bhimajibhai,CHOTILA,BJP,0,3 Crore+,30 Lac+,GUJARAT,10th Pass
759,Shaileshbhai Kanaiyalal Mehta (Shailesh Sotta),DABHOI,BJP,1,32 Crore+,13 Crore+,GUJARAT,Others
760,Chauhan Balrajsinh Kalyansinh,DAHEGAM,BJP,0,1 Crore+,6 Lac+,GUJARAT,Graduate Professional
761,Kanaiyalal Bachubhai Kishori,DAHOD (ST),BJP,0,0,2 Lac+,GUJARAT,Graduate Professional
762,Vijaybhai Rameshbhai Patel,DANGS (ST),BJP,0,1 Crore+,44 Lac+,GUJARAT,10th Pass
763,Shailesh Manubhai Parmar,DANILIMDA (SC),INC,2,32 Crore+,,GUJARAT,Graduate Professional
764,Kantibhai Kalabhai Kharadi,DANTA (ST),INC,0,1 Crore+,15 Lac+,GUJARAT,8th Pass
765,Kaushikbhai Sukhlal Jain,DARIAPUR,BJP,0,7 Crore+,,GUJARAT,Graduate
766,P.K.Parmar,DASADA (SC),BJP,0,91 Lac+,12 Lac+,GUJARAT,Others
767,Babubhai Jamnadas Patel,DASKROI,BJP,1,61 Crore+,81 Lac+,GUJARAT,10th Pass
768,Chaitarbhai Damjibhai Vasava,DEDIAPADA (ST),AAP,8,60 Lac+,,GUJARAT,Graduate
769,Pravinkumar Gordhanji Mali,DEESA,BJP,0,5 Crore+,11 Lac+,GUJARAT,Graduate
770,Keshaji Shivaji Chauhan,DEODAR,BJP,0,37 Lac+,10 Lac+,GUJARAT,12th Pass
771,Khabad Bachubhai Maganbhai,DEVGADHBARIA,BJP,0,0,,GUJARAT,10th Pass
772,Kalubhai Rupabhai Dabhi,DHANDHUKA,BJP,0,1 Crore+,21 Lac+,GUJARAT,8th Pass
773,Mavjibhai Maganbhai Desai,DHANERA,IND,2,63 Crore+,18 Crore+,GUJARAT,10th Pass
774,Arvind Chhotubhai Patel,DHARAMPUR (ST),BJP,0,2 Crore+,,GUJARAT,Graduate
775,Kakadiya Jaysukhbhai Vallabhbhai (Kakadiya J.V.),DHARI,BJP,0,3 Crore+,1 Crore+,GUJARAT,Graduate
776,Kiritsinh Sardarsang Dabhi,DHOLKA,BJP,0,6 Crore+,5 Lac+,GUJARAT,Graduate
777,Dr. Mahendrabhai Padalia,DHORAJI,BJP,0,8 Crore+,60 Lac+,GUJARAT,Doctorate
778,Prakashbhai Parsotambhai Varmora,DHRANGADHRA,BJP,0,31 Crore+,7 Crore+,GUJARAT,10th Pass
779,Pabubha Virambha Manek,DWARKA,BJP,0,115 Crore+,1 Crore+,GUJARAT,Literate
780,Amit Shah,ELLISBRIDGE,BJP,1,3 Crore+,,GUJARAT,Graduate Professional
781,Katara Rameshbhai Bhurabhai,FATEPURA (ST),BJP,0,0,,GUJARAT,Others
782,Mahant Shambhunath Tundiya,GADHADA (SC),BJP,0,4 Crore+,1 Lac+,GUJARAT,Graduate
783,Nareshbhai Maganbhai Patel,GANDEVI (ST),BJP,0,3 Crore+,37 Lac+,GUJARAT,10th Pass
784,Malti Kishor Maheshwari,GANDHIDHAM (SC),BJP,0,50 Lac+,5 Lac+,GUJARAT,Graduate
785,Ritaben Ketankumar Patel,GANDHINAGAR NORTH,BJP,0,20 Crore+,1 Crore+,GUJARAT,Post Graduate
786,Alpesh Khodaji Thakor,GANDHINAGAR SOUTH,BJP,6,3 Crore+,14 Lac+,GUJARAT,12th Pass
787,Mahendrabhai Bhabhor,GARBADA (ST),BJP,0,21 Lac+,,GUJARAT,8th Pass
788,Sudhirbhai Vaghani,GARIADHAR,AAP,0,19 Lac+,,GUJARAT,8th Pass
789,Bhupendrabhai Rajnikant Patel,GHATLODIA,BJP,0,8 Crore+,1 Crore+,GUJARAT,12th Pass
790,C.K.Raulji,GODHRA,BJP,0,13 Crore+,,GUJARAT,12th Pass
791,Geetaba Jayrajsinh Jadeja,GONDAL,BJP,0,0,7 Lac+,GUJARAT,10th Pass
792,Jaydrathsinhji Parmar,HALOL,BJP,0,6 Crore+,,GUJARAT,Graduate Professional
793,Vinendrasinh Dilipsinh Zala,HIMATNAGAR,BJP,0,8 Crore+,2 Lac+,GUJARAT,Graduate Professional
794,Ramanlal Ishwarlal Vora,IDAR (SC),BJP,0,2 Crore+,15 Lac+,GUJARAT,Graduate
795,R.C.Patel,JALALPORE,BJP,0,3 Crore+,78 Lac+,GUJARAT,10th Pass
796,Imran Khedawala,JAMALPUR-KHADIA,INC,2,1 Crore+,,GUJARAT,10th Pass
797,Devkishordasji Bhaktisvarupdasji Swami,JAMBUSAR,BJP,0,99 Lac+,71 Lac+,GUJARAT,Post Graduate
798,Ahir Hemantbhai Hardasbhai,JAMJODHPUR,AAP,0,2 Crore+,14 Lac+,GUJARAT,10th Pass
799,Rivasinh Hardevsinh Solanki (Rivaba Ravindrasinh Jadeja),JAMNAGAR NORTH,BJP,0,97 Crore+,,GUJARAT,10th Pass
800,Patel Raghavjibhai Hansrajbhai,JAMNAGAR RURAL,BJP,1,3 Crore+,25 Lac+,GUJARAT,Graduate Professional
801,Akbari Divyeshbhai Ranchhodbhai,JAMNAGAR SOUTH,BJP,0,0,1 Crore+,GUJARAT,12th Pass
802,Kunvarjibhai Mohanbhai Bavaliya,JASDAN,BJP,0,2 Crore+,,GUJARAT,Graduate Professional
803,Jayeshbhai Vitthalbhai Radadiya,JETPUR,BJP,0,33 Crore+,18 Crore+,GUJARAT,12th Pass
804,Rathwa Jayantibhai Savjibhai,JETPUR (ST),BJP,0,27 Lac+,,GUJARAT,Graduate
805,Riteshkumar Ramanbhai Vasava,JHAGADIA (ST),BJP,0,2 Crore+,30 Lac+,GUJARAT,8th Pass
806,Maheshbhai Somjibhai Bhuriya,JHALOD (ST),BJP,3,2 Crore+,27 Lac+,GUJARAT,12th Pass
807,Sanjay Sukhabhai Koradia,JUNAGADH,BJP,0,18 Crore+,2 Crore+,GUJARAT,12th Pass
808,Karsanbhai Punjabhai Solanki,KADI (SC),BJP,0,77 Lac+,33 Lac+,GUJARAT,Literate
809,Chavda Meghjibhai Amarabhai,KALAVAD (SC),BJP,0,1 Crore+,33 Lac+,GUJARAT,Graduate
810,Thakor Laxmanji Punjaji (Bakaji),KALOL-GANDHINAGAR,BJP,0,12 Crore+,29 Lac+,GUJARAT,8th Pass
811,Fatesinh Vakhatsinh Chauhan,KALOL-PANCHMAHALS,BJP,0,0,6 Lac+,GUJARAT,10th Pass
812,Praful Pansheriya,KAMREJ,BJP,0,19 Crore+,2 Crore+,GUJARAT,Graduate
813,Amrutji Motiji Thakor,KANKREJ,INC,0,3 Crore+,18 Lac+,GUJARAT,12th Pass
814,Zala Rajeshkumar Maganbhai,KAPADVANJ,BJP,0,1 Crore+,8 Lac+,GUJARAT,12th Pass
815,Jitubhai Harjibhai Chaudhari,KAPRADA (ST),BJP,1,1 Crore+,4 Lac+,GUJARAT,8th Pass
816,Pravinbhai Manjibhai Ghoghari,KARANJ,BJP,1,2 Crore+,54 Lac+,GUJARAT,12th Pass
817,Akshaykumar Ishvarbhai Patel,KARJAN,BJP,0,3 Crore+,12 Lac+,GUJARAT,12th Pass
818,Vinodbhai Amarshibhai Moradiya,KATARGAM,BJP,0,5 Crore+,60 Lac+,GUJARAT,10th Pass
819,Devabhai Punjabhai Malam,KESHOD,BJP,0,4 Crore+,,GUJARAT,Literate
820,Ayar Mulubhai Hardasbhai Bera,KHAMBHALIA,BJP,0,5 Crore+,2 Lac+,GUJARAT,10th Pass
821,Chiragkumar Arvindbhai Patel,KHAMBHAT,INC,0,0,8 Lac+,GUJARAT,10th Pass
822,Dr.Tushar Amarsinh Chaudhary,KHEDBRAHMA (ST),INC,0,7 Crore+,3 Lac+,GUJARAT,Graduate Professional
823,Sardarbhai,KHERALU,BJP,0,39 Crore+,2 Crore+,GUJARAT,Graduate Professional
824,Pradyuman Ganubhai Vaja,KODINAR (SC),BJP,0,5 Crore+,,GUJARAT,Post Graduate
825,Kandhalbhai Sarmanbhai Jadeja,KUTIYANA,SP,2,20 Crore+,38 Lac+,GUJARAT,8th Pass
826,Janakbhai Talaviya,LATHI,BJP,1,58 Crore+,4 Crore+,GUJARAT,12th Pass
827,Sangitaben Rajendra Patil,LIMBAYAT,BJP,0,2 Crore+,43 Lac+,GUJARAT,Graduate
828,Kiritsinh Jitubha Rana,LIMBDI,BJP,0,2 Crore+,,GUJARAT,10th Pass
829,Bhabhor Shaileshbhai Sumanbhai,LIMKHEDA (ST),BJP,0,1 Crore+,28 Lac+,GUJARAT,Post Graduate
830,Gulabsinh Somsinh Chauhan,LUNAWADA,INC,0,1 Crore+,4 Lac+,GUJARAT,Graduate
831,Patel Mukeshkumar D.,MAHESANA,BJP,0,0,2 Crore+,GUJARAT,Graduate Professional
832,Sanjaysinh Vijaysinh Mahida,MAHUDHA,BJP,0,4 Crore+,74 Lac+,GUJARAT,10th Pass
833,Gohil Shivabhai Jerambhai,MAHUVA,BJP,0,2 Crore+,20 Lac+,GUJARAT,8th Pass
834,Mohanbhai Dhanjibhai Dhodiya,MAHUVA (ST),BJP,0,2 Crore+,13 Lac+,GUJARAT,8th Pass
835,Harsh Ramesh Sanghvi,MAJURA,BJP,1,17 Crore+,8 Crore+,GUJARAT,8th Pass
836,Arvindbhai Jinabhai Ladani,MANAVADAR,INC,0,96 Lac+,3 Lac+,GUJARAT,12th Pass
837,Aniruddha Bhailal Dave,MANDVI,BJP,0,9 Crore+,59 Lac+,GUJARAT,Post Graduate
838,Kunvarjibhai Narsinhbhai Halpati,MANDVI (ST),BJP,0,1 Crore+,27 Lac+,GUJARAT,Graduate Professional
839,Kargatiya Bhagvanjibhai Lakhabhai,MANGROL,BJP,0,1 Crore+,,GUJARAT,10th Pass
840,Ganpatsinh Vestabhai Vasava,MANGROL (ST),BJP,0,8 Crore+,4 Crore+,GUJARAT,Graduate
841,Amul Bhatt,MANINAGAR,BJP,0,0,77 Lac+,GUJARAT,Post Graduate
842,Yogeshbhai Narandas Patel,MANJALPUR,BJP,0,33 Crore+,,GUJARAT,10th Pass
843,Jayantibhai Somabhai Patel (J.S. Patel),MANSA,BJP,0,661 Crore+,233 Crore+,GUJARAT,10th Pass
844,Kalpeshbhai Ashabhai Parmar,MATAR,BJP,0,1 Crore+,,GUJARAT,Literate
845,Arjunsinh Udesinh Chauhan,MEHMEDABAD,BJP,0,84 Lac+,,GUJARAT,Graduate
846,Bhikhusinhji Chatursinhji Parmar,MODASA,BJP,0,4 Crore+,2 Crore+,GUJARAT,10th Pass
847,Amrutiya Kantilal Shivlal,MORBI,BJP,0,9 Crore+,3 Crore+,GUJARAT,12th Pass
848,Suthar Nimishaben Manharsinh,MORVA HADAF (ST),BJP,0,56 Lac+,,GUJARAT,12th Pass
849,Desai Pankajbhai Vinubhai,NADIAD,BJP,0,11 Crore+,89 Lac+,GUJARAT,Graduate
850,Dr. Darshna Chandubhai Deshmukh(Vasava),NANDOD (ST),BJP,0,3 Crore+,41 Lac+,GUJARAT,Post Graduate
851,Jitendrakumar Ramanlal Patel (Jitu Bhagat),NARANPURA,BJP,0,0,23 Lac+,GUJARAT,12th Pass
852,Kukrani Payal Manojkumar,NARODA,BJP,0,1 Crore+,46 Lac+,GUJARAT,Graduate Professional
853,Desai Rakesh Gunvantbhai,NAVSARI,BJP,0,1 Crore+,17 Lac+,GUJARAT,Others
854,Jagdish Vishwakarma,NIKOL,BJP,0,29 Crore+,2 Crore+,GUJARAT,12th Pass
855,Dr.Jayrambhai Chemabhai Gamit,NIZAR (ST),BJP,0,46 Lac+,1 Lac+,GUJARAT,Doctorate
856,Mukeshbhai Zinabhai Patel,OLPAD,BJP,0,4 Crore+,1 Crore+,GUJARAT,12th Pass
857,Chaitanyasinh Pratapsinh Zala,PADRA,BJP,1,70 Lac+,27 Thou+,GUJARAT,Graduate Professional
858,Aniket Girishbhai Thaker,PALANPUR,BJP,0,49 Lac+,2 Lac+,GUJARAT,Graduate
859,Bhikhabhai Ravajibhai Baraiya,PALITANA,BJP,0,89 Lac+,,GUJARAT,12th Pass
860,Kanubhai Mohanlal Desai,PARDI,BJP,0,10 Crore+,,GUJARAT,Graduate Professional
861,Kiritkumar Chimanlal Patel,PATAN,INC,9,0,30 Lac+,GUJARAT,Doctorate
862,Kamleshbhai Rameshbhai Patel,PETLAD,BJP,0,1 Crore+,,GUJARAT,Post Graduate
863,Arjunbhai Devabhai Modhwadia,PORBANDAR,INC,1,3 Crore+,7 Lac+,GUJARAT,Graduate Professional
864,Gajendrasinh Udesinh Parmar,PRANTIJ,BJP,0,1 Crore+,,GUJARAT,Graduate
865,Lavingji Muljiji Solanki,RADHANPUR,BJP,0,66 Lac+,9 Lac+,GUJARAT,Literate
866,Uday Kangad,RAJKOT EAST,BJP,1,9 Crore+,1 Crore+,GUJARAT,8th Pass
867,Bhanuben Manoharbhai Babariya,RAJKOT RURAL (SC),BJP,0,2 Crore+,16 Lac+,GUJARAT,Graduate
868,Rameshbhai Virjibhai Tilala,RAJKOT SOUTH,BJP,0,175 Crore+,8 Crore+,GUJARAT,5th Pass
869,Dr. Darshita Shah,RAJKOT WEST,BJP,0,10 Crore+,90 Lac+,GUJARAT,Post Graduate
870,Hirabhai Odhavjibhai Solanki,RAJULA,BJP,1,53 Crore+,5 Crore+,GUJARAT,10th Pass
871,Balkrushna Khanderao Shukla (Balu Shukla),RAOPURA,BJP,0,0,29 Lac+,GUJARAT,Post Graduate
872,Virendrasinh Bahadursinh Jadeja,RAPAR,BJP,0,4 Crore+,50 Lac+,GUJARAT,8th Pass
873,Patel Harshadbhai Ranchhodbhai,SABARMATI,BJP,0,8 Crore+,,GUJARAT,Doctorate
874,Kanubhai Karamshibhai Patel,SANAND,BJP,1,21 Crore+,36 Lac+,GUJARAT,12th Pass
875,Abhesinh Motibhai Tadvi,SANKHEDA (ST),BJP,0,4 Crore+,51 Lac+,GUJARAT,10th Pass
876,Dr. Kuberbhai Mansukhbhai Dindor,SANTRAMPUR (ST),BJP,0,2 Crore+,53 Lac+,GUJARAT,Doctorate
877,Kaswala Mahesh,SAVARKUNDLA,BJP,0,9 Crore+,2 Crore+,GUJARAT,Post Graduate
878,Inamdar Ketanbhai Mahendrabhai,SAVLI,BJP,0,3 Crore+,30 Lac+,GUJARAT,12th Pass
879,Keyur Narayandas Rokadia,SAYAJIGUNJ,BJP,0,10 Crore+,,GUJARAT,Post Graduate
880,Ahir(Bharvad) Jethabhai,SHEHRA,BJP,1,18 Crore+,5 Crore+,GUJARAT,Graduate
881,Balvantsinh Chandansinh Rajput,SIDHPUR,BJP,0,0,12 Crore+,GUJARAT,Graduate
882,Patel Vipulkumar Vinubhai,SOJITRA,BJP,0,2 Crore+,,GUJARAT,12th Pass
883,Chudasama Vimalbhai Kanabhai,SOMNATH,INC,1,2 Crore+,12 Lac+,GUJARAT,Graduate
884,Arvind Shantilal Rana,SURAT EAST,BJP,0,5 Crore+,,GUJARAT,12th Pass
885,Kantibhai Himmatbhai Balar,SURAT NORTH,BJP,0,54 Crore+,3 Crore+,GUJARAT,Literate
886,Purnesh Modi,SURAT WEST,BJP,0,1 Crore+,34 Lac+,GUJARAT,Graduate Professional
887,Gautambhai Chauhan,TALAJA,BJP,0,40 Lac+,,GUJARAT,10th Pass
888,Bhagabhai Dhanabhai Barad,TALALA,BJP,0,12 Crore+,89 Lac+,GUJARAT,Graduate
889,Durlabhjibhai Harakhjibhai Dethariya,TANKARA,BJP,0,5 Crore+,1 Crore+,GUJARAT,10th Pass
890,Kanchanben Vinubhai Radadiya,THAKKARBAPA NAGAR,BJP,0,3 Crore+,4 Lac+,GUJARAT,10th Pass
891,Shankarbhai Lagdhirbhai Chaudhary,THARAD,BJP,0,0,15 Lac+,GUJARAT,Post Graduate
892,Yogendrasinh Parmar (Bakabhai),THASRA,BJP,1,11 Crore+,91 Lac+,GUJARAT,Graduate
893,Manubhai M. Patel (Fogwa),UDHNA,BJP,0,6 Crore+,2 Lac+,GUJARAT,8th Pass
894,Patkar Ramanlal Nanubhai,UMBERGAON (ST),BJP,0,3 Crore+,15 Lac+,GUJARAT,8th Pass
895,Govindbhai Raijibhai Parmar,UMRETH,BJP,3,2 Crore+,31 Lac+,GUJARAT,5th Pass
896,Kalubhai Rathod,UNA,BJP,1,6 Crore+,1 Crore+,GUJARAT,12th Pass
897,Patel Kiritkumar Keshavlal (K K Patel),UNJHA,BJP,0,44 Crore+,14 Crore+,GUJARAT,Graduate Professional
898,Jignesh Mevani,VADGAM (SC),INC,10,35 Lac+,,GUJARAT,Graduate Professional
899,Manisha Vakil,VADODARA CITY (SC),BJP,0,2 Crore+,18 Lac+,GUJARAT,Doctorate
900,Dharmendrasinh Ranubha Vaghela (Bapu),VAGHODIA,IND,0,111 Crore+,27 Crore+,GUJARAT,10th Pass
901,Arunsinh Ajitsinh Rana,VAGRA,BJP,0,0,61 Lac+,GUJARAT,10th Pass
902,Bharatbhai Kikubhai Patel,VALSAD,BJP,0,3 Crore+,5 Lac+,GUJARAT,Post Graduate
903,Kishor Kanani (Kumar),VARACHHA ROAD,BJP,0,1 Crore+,10 Lac+,GUJARAT,8th Pass
904,Babusinh Sarabhai Jadav,VATVA,BJP,0,1 Crore+,31 Lac+,GUJARAT,10th Pass
905,Thakor Geniben Nagaji,VAV,INC,1,65 Lac+,9 Lac+,GUJARAT,Graduate
906,Amit Thaker,VEJALPUR,BJP,1,19 Crore+,11 Crore+,GUJARAT,Post Graduate
907,Dr. C. J. Chavda,VIJAPUR,INC,1,15 Crore+,4 Crore+,GUJARAT,Graduate Professional
908,Hardik Bharatbhai Patel,VIRAMGAM,BJP,22,61 Lac+,2 Lac+,GUJARAT,Graduate
909,Bhupendrabhai Gandubhai Bhayani,VISAVADAR,AAP,1,64 Lac+,13 Lac+,GUJARAT,10th Pass
910,Rushikesh Ganeshbhai Patel,VISNAGAR,BJP,1,15 Crore+,2 Crore+,GUJARAT,12th Pass
911,Kokani Mohanbhai Dhedabhai,VYARA (ST),BJP,0,0,,GUJARAT,Post Graduate
912,Jagdishbhai Prabhubhai Makwana,WADHWAN,BJP,0,1 Crore+,14 Lac+,GUJARAT,Graduate
913,Jitendra Kantilal Somani,WANKANER,BJP,1,3 Crore+,,GUJARAT,5th Pass
914,Dulu Mahato,BAGHMARA,BJP,4,3 Crore+,44 Lac+,JHARKHAND,12th Pass
915,Vinod Kumar Singh,BAGODAR,CPI(ML)(L),2,26 Lac+,,JHARKHAND,Post Graduate
916,Samir Kumar Mohanty,BAHARAGORA,JMM,3,6 Lac+,4 Lac+,JHARKHAND,Graduate
917,Hemant Soren,BARHAIT (ST),JMM,2,8 Crore+,2 Lac+,JHARKHAND,12th Pass
918,Umashankar Akela,BARHI,INC,5,50 Lac+,,JHARKHAND,Graduate
919,Amba Prasad,BARKAGAON,INC,1,4 Lac+,,JHARKHAND,Graduate Professional
920,Amit Kumar Yadav S/O Chitranjan Yadav,BARKATHA,IND,0,1 Crore+,41 Lac+,JHARKHAND,Graduate
921,Rajendra Prasad Singh,BERMO,INC,0,13 Crore+,,JHARKHAND,12th Pass
922,Bhanu Pratap Shahi,BHAWANATHPUR,BJP,6,4 Crore+,72 Lac+,JHARKHAND,Graduate
923,Ramchandra Chandravanshi,BISHRAMPUR,BJP,0,0,,JHARKHAND,12th Pass
924,Chamra Linda,BISHUNPUR (ST),JMM,1,58 Lac+,3 Lac+,JHARKHAND,Graduate
925,Biranchi Narayan,BOKARO,BJP,2,2 Crore+,74 Thou+,JHARKHAND,Others
926,Lobin Hembrom,BORIO (ST),JMM,2,1 Crore+,,JHARKHAND,10th Pass
927,Deepak Birua,CHAIBASA (ST),JMM,0,1 Crore+,5 Lac+,JHARKHAND,Graduate
928,Sukhram Oraon,CHAKRADHARPUR (ST),JMM,1,1 Crore+,11 Lac+,JHARKHAND,Post Graduate
929,Amar Kumar Bauri,CHANDANKIYARI (SC),BJP,0,89 Lac+,2 Lac+,JHARKHAND,Post Graduate
930,Satyanand Bhokta,CHATRA (SC),RJD,1,77 Lac+,52 Lac+,JHARKHAND,10th Pass
931,Pushpa Devi,CHHATARPUR (SC),BJP,0,58 Lac+,21 Lac+,JHARKHAND,Literate
932,Alok Kumar Chaurasiya,DALTONGANJ,BJP,0,3 Crore+,20 Lac+,JHARKHAND,12th Pass
933,Narayan Das,DEOGHAR (SC),BJP,1,0,7 Lac+,JHARKHAND,12th Pass
934,Raj Sinha,DHANBAD,BJP,0,3 Crore+,6 Lac+,JHARKHAND,Post Graduate
935,Babulal Marandi,DHANWAR,JVM(P),9,1 Crore+,,JHARKHAND,Graduate
936,Hemant Soren,DUMKA (ST),JMM,2,8 Crore+,2 Lac+,JHARKHAND,12th Pass
937,Dr Sarfraz Ahmad,GANDEY,JMM,0,43 Lac+,,JHARKHAND,Post Graduate
938,Mithilesh Kumar Thakur,GARHWA,JMM,2,10 Crore+,36 Lac+,JHARKHAND,Graduate
939,Ramdas Soren,GHATSILA (ST),JMM,5,9 Crore+,6 Lac+,JHARKHAND,Graduate
940,Sudivya Kumar,GIRIDIH,JMM,1,3 Crore+,52 Lac+,JHARKHAND,12th Pass
941,Amit Kumar Mandal,GODDA,BJP,0,7 Crore+,43 Lac+,JHARKHAND,Post Graduate
942,Lambodar Mahto,GOMIA,AJSU Party,0,1 Crore+,,JHARKHAND,Doctorate
943,Bhushan Tirkey,GUMLA (ST),JMM,2,0,29 Lac+,JHARKHAND,10th Pass
944,Navin Jaiswal,HATIA,BJP,1,5 Crore+,1 Crore+,JHARKHAND,12th Pass
945,Manish Jaiswal,HAZARIBAGH,BJP,1,27 Crore+,5 Crore+,JHARKHAND,Graduate
946,Kamlesh Kumar Singh,HUSSAINABAD,NCP,3,3 Crore+,2 Crore+,JHARKHAND,10th Pass
